cluster,month,total_transactions,total_spend,ipsos_mean,cons_conf_mean
2,2021-01,1192,1935562.17,31.700000000000003,83.2669
2,2021-02,902,1455684.42,32.0,84.5152
2,2021-03,920,1534261.23,33.6,86.6538
2,2021-04,928,1510866.07,32.0,80.1716
2,2021-05,1202,1972953.11,30.0,77.2622
2,2021-06,929,1509090.91,28.5,81.7228
2,2021-07,1321,2307870.71,30.0,79.4772
2,2021-08,1025,1624597.05,28.7,78.2191
2,2021-09,863,1274290.63,29.399999999999995,79.6503
2,2021-10,1186,1856250.09,28.900000000000002,76.7812
2,2021-11,957,1577777.22,30.3,71.1483
2,2021-12,949,1421497.04,28.7,68.9133
2,2022-01,1074,1802181.53,29.3,73.21
2,2022-02,937,1420560.38,29.2,71.15
2,2022-03,953,1559631.07,30.2,72.53
2,2022-04,1047,1696248.52,28.5,67.27
2,2022-05,1140,1867678.68,29.3,67.57
2,2022-06,892,1325643.79,28.0,63.36
2,2022-07,1301,2102864.8,27.0,68.03
2,2022-08,984,1488802.09,27.0,72.16
2,2022-09,882,1377565.64,30.6,72.35
2,2022-10,1168,1920872.46,33.9,76.15
2,2022-11,894,1296603.42,34.1,76.63
2,2022-12,1070,1682790.6,34.4,75.64
2,2023-01,1045,1643790.03,34.0,79.1
2,2023-02,975,1544438.28,34.4,82.5
2,2023-03,239,406157.42,31.6,80.13
