year,month,oecd_confidence
2020,11,97.88219
2020,12,98.06979
2021,1,98.53454
2021,2,98.87374
2021,3,98.78824
2021,4,98.11855
2021,5,97.61825
2021,6,97.59113
2021,7,97.48471
2021,8,97.29325
2021,9,96.97616
2021,10,96.24303
2021,11,95.33971
2021,12,94.87467
2022,1,94.93996
2022,2,94.8883
2022,3,94.61234
2022,4,93.97101
2022,5,93.47193
2022,6,93.28676
2022,7,93.84404
2022,8,94.7011
2022,9,95.42516
2022,10,96.04954
2022,11,96.41219
2022,12,96.71954
2023,1,97.30893
2023,2,98.02856
2023,3,98.7425
2023,4,99.67429
2023,5,99.94245
2023,6,98.9427
2023,7,97.20549
2023,8,95.5195
